algo,size,trial,runtime_ns,cpu_ns,cost,nodes_expanded
astar,5,0,2804000,14055000,5.0,8
astar,5,1,1834000,13680000,2.249612736828632,9
astar,5,2,2992000,17810000,2.4324100724478357,15
astar,5,3,2041000,21698000,2.092769076252572,8
astar,5,4,1669000,7980000,1.730408540073093,8
astar,5,5,3713000,20944000,1.8381227481602795,14
astar,5,6,4657000,44971000,2.907493662653474,11
astar,5,7,4589000,37704000,2.9076783169773255,10
astar,5,8,4550000,22523000,2.7273840284710706,8
astar,5,9,3309000,36528000,2.1307530483783985,8
astar,5,10,5529000,37545000,2.616055718212318,14
astar,6,0,2169000,5585000,6.0,10
astar,6,1,2203000,31665000,2.6549481998199593,10
astar,6,2,24990000,34093000,2.3857942300953416,10
astar,6,3,8571000,31618000,2.5826910133607814,8
astar,6,4,14281000,114835000,2.624479955310725,27
astar,6,5,2536000,18375000,2.204890873346207,10
astar,6,6,2157000,15591000,2.1213700507683013,9
astar,6,7,3949000,19496000,1.7547496920325507,14
astar,6,8,2520000,16962000,1.9668510853745373,11
astar,6,9,16213000,110140000,2.4785680059775688,24
astar,6,10,6840000,68348000,2.4426248321788395,24
astar,7,0,3204000,32540000,7.0,12
astar,7,1,3960000,23747000,2.5485158336662055,13
astar,7,2,17376000,17322000,2.1133715738835726,67
astar,7,3,15184000,15143000,2.765538655869785,54
astar,7,4,8693000,8651000,2.846818037575111,29
astar,7,5,5388000,5384000,2.490845941532837,20
astar,7,6,2849000,2832000,2.5723564469140525,10
astar,7,7,19249000,19135000,2.399317511596459,71
astar,7,8,19884000,19568000,2.8691626616349586,68
astar,7,9,2858000,2853000,2.313145784495734,12
astar,7,10,6069000,6062000,1.9213979013365257,21
astar,8,0,3935000,3933000,8.0,14
astar,8,1,44172000,44007000,2.169253240672645,148
astar,8,2,24861000,24826000,2.617022360072963,73
astar,8,3,35286000,35253000,2.922101088853702,112
astar,8,4,9750000,9737000,2.5500304966934046,28
astar,8,5,17317000,17298000,2.259541309300535,55
astar,8,6,41876000,41691000,2.5947795613832856,137
astar,8,7,32855000,32781000,2.6801242091455992,108
astar,8,8,3927000,3926000,2.653053185766895,14
astar,8,9,11654000,11634000,2.9245232677730284,33
astar,8,10,9732000,9720000,2.3974053238819213,32
astar,9,0,47780000,47708000,2.7619467561551287,122
astar,9,1,9699000,9683000,3.425061693053154,25
astar,9,2,21021000,20996000,2.976243492945899,52
astar,9,3,206318000,206239000,2.4796224566556866,659
astar,9,4,77011000,76953000,2.748789980645658,211
astar,9,5,11607000,11579000,2.7163262667987818,27
astar,9,6,33155000,33117000,2.8945244142259123,85
astar,9,7,50480000,50440000,3.4309257711030487,139
astar,9,8,10532000,10473000,2.9485998664242383,27
astar,9,9,21256000,21216000,2.2509074693075624,54
astar,10,0,32406000,31611000,2.4264022434978916,65
astar,10,1,14225000,14213000,2.91984797950471,33
astar,10,2,20282000,20234000,3.351320331000942,42
astar,10,3,60905000,60773000,3.297805212130009,139
astar,10,4,12689000,12677000,3.2268629179918995,25
astar,10,5,8881000,8831000,2.334051028911734,22
astar,10,6,16825000,16791000,2.8527480232166775,35
astar,10,7,6514000,6513000,2.836224058799113,15
astar,10,8,65326000,65272000,2.983899143056186,143
astar,10,9,12130000,12098000,2.828184716381501,28
astar,15,0,231491000,231424000,3.679208701557944,372
astar,15,1,417467000,417394000,3.2927732135176573,680
astar,15,2,102939000,102881000,3.3761934836352916,129
astar,15,3,1122956000,1122899000,3.255522178875017,1564
astar,15,4,62490000,62436000,3.0376088161830257,74
astar,15,5,297595000,297415000,3.034791260708352,353
astar,15,6,307520000,307465000,2.8747424255513714,400
astar,15,7,876170000,876067000,2.953731551886327,1180
astar,15,8,32861000,32786000,2.781896341181247,43
astar,15,9,192447000,189914000,3.279437951566352,221
astar,20,0,1403063002000,198954966000,3.7074426667791287,194944
astar,20,1,21020891000,21022140000,4.375786140605382,20641
astar,20,2,2094970000,2094970000,3.9633563103617404,1724
astar,20,3,9240817000,9241171000,4.1051862170918,7629
astar,20,4,421925000,421855000,3.483894774010487,393
astar,20,5,253140000,253114000,3.3650292539189626,217
astar,20,6,371392000,371336000,3.8691641956046054,342
astar,20,7,588945000,588903000,3.333998744542598,529
astar,20,8,86873600000,86797057000,4.662431349587166,85615
astar,20,9,1860101000,1859924000,3.652638422142972,1687
