mutation_chance,size,median_cost
0.01,5,2.4324100724478357
0.01,10,3.09580935417177
0.01,15,3.431149177784838
0.01,20,4.992814306144412
0.01,25,5.731823829984579
0.01,30,7.353781589974463
0.05,5,2.4324100724478357
0.05,10,3.0147712615007976
0.05,15,3.4588458502400714
0.05,20,4.587567481357375
0.05,25,5.391042949170188
0.05,30,6.750867942574756
0.1,5,2.4324100724478357
0.1,10,2.951873561280448
0.1,15,3.3089055103757605
0.1,20,4.3336043475794614
0.1,25,5.248678094327112
0.1,30,6.407499650119295
0.2,5,2.4324100724478357
0.2,10,2.886298001360694
0.2,15,3.366846245029065
0.2,20,4.588311702126988
0.2,25,5.325461464951951
0.2,30,6.240611728410778
0.5,5,2.4324100724478357
0.5,10,2.918323583136432
0.5,15,3.350286087796687
0.5,20,4.1342385908540376
0.5,25,5.039100485497463
0.5,30,6.335758740393361
