num_generations,size,median_cost
10,5,2.4324100724478357
10,10,3.0373088984972387
10,15,4.090927958423456
10,20,5.484276896892321
10,25,7.665678406059012
10,30,10.016789869658822
25,5,2.4324100724478357
25,10,2.928609148641269
25,15,3.5394119610647508
25,20,4.898684266009953
25,25,6.069485094265825
25,30,8.00373854297321
50,5,2.4324100724478357
50,10,2.951873561280448
50,15,3.4418585299222713
50,20,4.7196729920455045
50,25,5.606770616517311
50,30,7.312653306433948
100,5,2.4324100724478357
100,10,2.951873561280448
100,15,3.3419201673281913
100,20,4.571445103510096
100,25,5.602446910999674
100,30,6.652102541487595
200,5,2.4324100724478357
200,10,2.9189939958370474
200,15,3.380278839285324
200,20,4.574189623891393
200,25,5.2800393192050565
200,30,6.346262184448607
