algo,size,trial,runtime_ns,cpu_ns,cost
nn,5,0,16000,16000,5.0
nn,5,1,7000,7000,2.302807275241958
nn,5,2,6000,6000,2.9137650752037545
nn,5,3,6000,6000,2.092769076252572
nn,5,4,5000,5000,1.7368906789492429
nn,5,5,4000,3000,1.8475581122675475
nn,5,6,5000,5000,3.077030753170252
nn,5,7,4000,3000,2.992680172101702
nn,5,8,7000,6000,2.7273840284710706
nn,5,9,4000,4000,2.1702492106510727
nn,5,10,4000,4000,2.7660935522074466
nn,10,0,9000,9000,2.698943228318944
nn,10,1,10000,10000,2.970647263806921
nn,10,2,11000,10000,3.590847337015066
nn,10,3,12000,12000,3.483118298482454
nn,10,4,14000,13000,3.7121823781833925
nn,10,5,12000,11000,2.847858890233979
nn,10,6,12000,12000,2.960850034415725
nn,10,7,12000,11000,3.164341647836845
nn,10,8,12000,12000,3.356254627355101
nn,10,9,10000,9000,3.2610975833465736
nn,15,0,18000,17000,4.475034600141252
nn,15,1,17000,15000,3.9261762959234
nn,15,2,18000,17000,3.9989671319673215
nn,15,3,16000,15000,3.417148280048879
nn,15,4,16000,16000,3.3408843984374395
nn,15,5,16000,16000,3.918767754363258
nn,15,6,16000,15000,3.4613287033472
nn,15,7,16000,16000,3.083606627661779
nn,15,8,16000,16000,2.7818963411812474
nn,15,9,20000,20000,3.6990596801802242
nn,20,0,28000,28000,3.9623527747257015
nn,20,1,27000,27000,4.725527534528709
nn,20,2,27000,27000,5.274989374130197
nn,20,3,27000,26000,5.506556040129809
nn,20,4,27000,26000,3.7357356951815293
nn,20,5,27000,27000,4.0510809276076545
nn,20,6,26000,26000,4.917943756532523
nn,20,7,27000,27000,4.488141714808526
nn,20,8,27000,27000,5.419122941271862
nn,20,9,27000,26000,3.8289489942794606
nn,25,0,41000,39000,3.888328505908574
nn,25,1,40000,39000,4.682557674214626
nn,25,2,42000,40000,4.907781285944539
nn,25,3,40000,39000,5.1643984501286955
nn,25,4,39000,39000,5.610782414457042
nn,25,5,41000,40000,5.794306923030747
nn,25,6,40000,39000,4.6403581936712825
nn,25,7,39000,39000,6.204088208344906
nn,25,8,41000,40000,4.427992256443447
nn,25,9,39000,39000,5.191860903427984
nn,30,0,55000,55000,5.207714818464909
nn,30,1,55000,54000,6.064367823646382
nn,30,2,56000,54000,6.622631639508675
nn,30,3,55000,55000,6.036559582744721
nn,30,4,55000,54000,5.2306065813065965
nn,30,5,54000,54000,7.040016676142321
nn,30,6,55000,54000,5.778464506439794
nn,30,7,55000,54000,5.703570743430549
nn,30,8,54000,54000,5.393178476557452
nn,30,9,54000,54000,5.613270358453305
nn2opt,5,0,22000,22000,5.0
nn2opt,5,1,26000,25000,2.249612736828632
nn2opt,5,2,21000,21000,2.585467868932958
nn2opt,5,3,14000,14000,2.092769076252572
nn2opt,5,4,22000,21000,1.730408540073093
nn2opt,5,5,14000,13000,1.8475581122675475
nn2opt,5,6,16000,16000,2.907493662653474
nn2opt,5,7,14000,13000,2.992680172101702
nn2opt,5,8,14000,13000,2.7273840284710706
nn2opt,5,9,21000,21000,2.1307530483783985
nn2opt,5,10,18000,18000,2.616055718212318
nn2opt,10,0,154000,155000,2.426402243497892
nn2opt,10,1,132000,127000,2.91984797950471
nn2opt,10,2,140000,140000,3.359837310139135
nn2opt,10,3,192000,191000,3.4420740877089218
nn2opt,10,4,247000,243000,3.2268629179918995
nn2opt,10,5,137000,136000,2.334051028911734
nn2opt,10,6,128000,123000,2.9244965029241046
nn2opt,10,7,144000,138000,2.904477671775596
nn2opt,10,8,162000,162000,2.983899143056186
nn2opt,10,9,168000,165000,2.828184716381501
nn2opt,15,0,1337000,1333000,3.7449198670800383
nn2opt,15,1,582000,582000,3.6956512268945216
nn2opt,15,2,630000,621000,3.5661274133674508
nn2opt,15,3,588000,585000,3.2555221788750175
nn2opt,15,4,473000,471000,3.0376088161830257
nn2opt,15,5,398000,397000,3.0538242001750437
nn2opt,15,6,856000,855000,2.8747424255513714
nn2opt,15,7,297000,297000,3.0407560736023016
nn2opt,15,8,236000,232000,2.7818963411812474
nn2opt,15,9,514000,513000,3.462213134511827
nn2opt,20,0,1005000,1003000,3.8398574053389445
nn2opt,20,1,1447000,1447000,4.398054454836867
nn2opt,20,2,2364000,2364000,3.9653865668543813
nn2opt,20,3,908000,904000,4.6986624789991485
nn2opt,20,4,2149000,2145000,3.483894774010487
nn2opt,20,5,1146000,1145000,3.3782565870470767
nn2opt,20,6,1118000,1118000,3.8691641956046054
nn2opt,20,7,3083000,3083000,3.333998744542599
nn2opt,20,8,3074000,3072000,4.662431349587166
nn2opt,20,9,1454000,1450000,3.742468551618999
nn2opt,25,0,4134000,4131000,3.634276259916759
nn2opt,25,1,3070000,3069000,4.469574150798541
nn2opt,25,2,6356000,6353000,4.09255466815745
nn2opt,25,3,10680000,10676000,4.2271587366183
nn2opt,25,4,7387000,7383000,4.614865812952216
nn2opt,25,5,7744000,7739000,4.353679666713324
nn2opt,25,6,4766000,4765000,4.1804801847681485
nn2opt,25,7,4492000,4487000,4.5729931046678125
nn2opt,25,8,2453000,2453000,4.371953851282509
nn2opt,25,9,5750000,5746000,3.8232598756562473
nn2opt,30,0,6637000,6636000,4.510269489491204
nn2opt,30,1,7250000,7249000,4.701018914405603
nn2opt,30,2,11697000,11693000,4.78510598481993
nn2opt,30,3,7708000,7701000,5.420441366684695
nn2opt,30,4,6235000,6234000,4.790569246118425
nn2opt,30,5,14440000,14439000,5.672359334859427
nn2opt,30,6,19230000,19229000,4.191485263985936
nn2opt,30,7,18686000,18684000,4.9528218555809715
nn2opt,30,8,4773000,4768000,4.966344613099714
nn2opt,30,9,11338000,11334000,4.500126374297257
rrnn,5,0,897000,895000,5.0
rrnn,5,1,1023000,1023000,2.249612736828632
rrnn,5,2,895000,891000,2.4324100724478357
rrnn,5,3,972000,968000,2.092769076252572
rrnn,5,4,942000,938000,1.730408540073093
rrnn,5,5,1017000,1016000,1.8381227481602798
rrnn,5,6,1174000,1167000,2.907493662653474
rrnn,5,7,962000,962000,2.9076783169773255
rrnn,5,8,976000,976000,2.7273840284710706
rrnn,5,9,994000,993000,2.1307530483783985
rrnn,5,10,981000,977000,2.616055718212318
rrnn,10,0,10157000,10153000,2.4264022434978916
rrnn,10,1,10518000,10517000,2.91984797950471
rrnn,10,2,11146000,11144000,3.351320331000942
rrnn,10,3,14182000,14181000,3.4420740877089218
rrnn,10,4,16095000,16093000,3.2268629179918995
rrnn,10,5,10621000,10620000,2.334051028911734
rrnn,10,6,11057000,11056000,2.8527480232166775
rrnn,10,7,11558000,11557000,2.8362240587991128
rrnn,10,8,14130000,14128000,2.983899143056186
rrnn,10,9,13833000,13828000,2.828184716381501
rrnn,15,0,65440000,65431000,3.679208701557944
rrnn,15,1,70539000,70531000,3.2927732135176573
rrnn,15,2,64096000,64088000,3.3761934836352916
rrnn,15,3,68953000,68949000,3.255522178875017
rrnn,15,4,54839000,54836000,3.0376088161830257
rrnn,15,5,58762000,58757000,3.034791260708352
rrnn,15,6,63851000,63847000,2.8747424255513714
rrnn,15,7,66226000,66221000,2.953731551886327
rrnn,15,8,61390000,61381000,2.781896341181247
rrnn,15,9,70272000,70267000,3.279437951566352
rrnn,20,0,200606000,200588000,3.7074426667791287
rrnn,20,1,173618000,173607000,4.375786140605382
rrnn,20,2,188467000,188455000,3.9633563103617404
rrnn,20,3,193299000,193288000,4.1051862170918
rrnn,20,4,236136000,236118000,3.483894774010487
rrnn,20,5,182330000,182309000,3.3650292539189626
rrnn,20,6,219644000,219621000,3.8691641956046054
rrnn,20,7,277451000,234877000,3.333998744542599
rrnn,20,8,183359000,182456000,4.662431349587166
rrnn,20,9,237716000,237041000,3.652638422142972
rrnn,25,0,564597000,561836000,3.6342762599167586
rrnn,25,1,495511000,494245000,4.463066510004422
rrnn,25,2,582395000,581052000,3.9882587006723185
rrnn,25,3,500553000,498931000,4.208921780176543
rrnn,25,4,600844000,552367000,4.56707300546974
rrnn,25,5,569792000,557897000,4.353679666713324
rrnn,25,6,582344000,582098000,3.85151350992168
rrnn,25,7,606481000,606431000,4.545831366859531
rrnn,25,8,562119000,560478000,4.196332436506655
rrnn,25,9,596085000,594386000,3.8068917710510775
rrnn,30,0,1272885000,1272085000,4.510269489491204
rrnn,30,1,1088356000,1056776000,4.598312744721495
rrnn,30,2,1124369000,1123066000,4.78510598481993
rrnn,30,3,1100038000,1098664000,4.937503927310482
rrnn,30,4,1105640000,1103588000,4.6690417160586675
rrnn,30,5,1199632000,1198165000,4.983331747361791
rrnn,30,6,1301759000,1299308000,4.191485263985936
rrnn,30,7,1401766000,1365064000,4.727628235175883
rrnn,30,8,1091638000,1090713000,4.906840716452357
rrnn,30,9,1015984000,1014911000,4.512319790603308
