algo,size,trial,runtime_ns,cpu_ns,cost,nodes_expanded
nn,5,0,15000,14000,5.0,0
nn,5,1,5000,4000,2.302807275241958,0
nn,5,2,4000,3000,2.9137650752037545,0
nn,5,3,8000,8000,2.092769076252572,0
nn,5,4,4000,4000,1.7368906789492429,0
nn,5,5,4000,4000,1.8475581122675475,0
nn,5,6,4000,5000,3.077030753170252,0
nn,5,7,4000,4000,2.992680172101702,0
nn,5,8,4000,5000,2.7273840284710706,0
nn,5,9,3000,4000,2.1702492106510727,0
nn,5,10,4000,4000,2.7660935522074466,0
nn,6,0,5000,5000,6.0,0
nn,6,1,5000,5000,2.6603705791553898,0
nn,6,2,5000,4000,2.3857942300953416,0
nn,6,3,5000,4000,2.616438241140525,0
nn,6,4,5000,4000,2.8277534068222785,0
nn,6,5,5000,4000,2.204890873346207,0
nn,6,6,5000,4000,2.1213700507683013,0
nn,6,7,5000,4000,1.7547496920325507,0
nn,6,8,5000,5000,2.321612196520988,0
nn,6,9,5000,4000,2.59902954293914,0
nn,6,10,5000,4000,2.510452305693461,0
nn,7,0,6000,5000,7.0,0
nn,7,1,6000,5000,2.8951894710008785,0
nn,7,2,5000,5000,2.3375056646255032,0
nn,7,3,6000,5000,2.869514277468648,0
nn,7,4,8000,8000,3.092508367112796,0
nn,7,5,5000,5000,2.9349535621043024,0
nn,7,6,6000,5000,2.623531780712397,0
nn,7,7,6000,5000,2.6403766181762567,0
nn,7,8,6000,6000,2.9353243490974883,0
nn,7,9,6000,5000,2.7312310951441527,0
nn,7,10,6000,5000,2.150708626659995,0
nn,8,0,7000,6000,8.0,0
nn,8,1,7000,6000,2.337035616655519,0
nn,8,2,6000,6000,2.744353565789672,0
nn,8,3,7000,6000,3.480259437443576,0
nn,8,4,12000,13000,2.677493529243073,0
nn,8,5,7000,6000,2.4472699508904205,0
nn,8,6,7000,6000,2.661481384018112,0
nn,8,7,7000,7000,2.8276313645808298,0
nn,8,8,9000,8000,2.8759225447740437,0
nn,8,9,7000,6000,2.9245232677730293,0
nn,8,10,9000,9000,2.700607429578521,0
nn,9,0,8000,7000,2.9501001135332454,0
nn,9,1,10000,10000,4.088437244099089,0
nn,9,2,9000,8000,3.70722804162796,0
nn,9,3,10000,9000,2.4796224566556866,0
nn,9,4,8000,8000,2.8654316247569143,0
nn,9,5,9000,9000,2.8578466289773496,0
nn,9,6,8000,7000,3.193828918433327,0
nn,9,7,8000,9000,3.574588355070119,0
nn,9,8,8000,7000,3.162112012434963,0
nn,9,9,8000,8000,2.536506670192419,0
nn,10,0,10000,9000,2.698943228318944,0
nn,10,1,9000,9000,2.970647263806921,0
nn,10,2,10000,9000,3.590847337015066,0
nn,10,3,9000,8000,3.483118298482454,0
nn,10,4,11000,10000,3.7121823781833925,0
nn,10,5,10000,9000,2.847858890233979,0
nn,10,6,10000,9000,2.960850034415725,0
nn,10,7,9000,10000,3.164341647836845,0
nn,10,8,9000,8000,3.356254627355101,0
nn,10,9,9000,8000,3.2610975833465736,0
nn,15,0,17000,17000,4.475034600141252,0
nn,15,1,17000,16000,3.9261762959234,0
nn,15,2,16000,15000,3.9989671319673215,0
nn,15,3,17000,15000,3.417148280048879,0
nn,15,4,17000,16000,3.3408843984374395,0
nn,15,5,17000,16000,3.918767754363258,0
nn,15,6,16000,15000,3.4613287033472,0
nn,15,7,16000,16000,3.083606627661779,0
nn,15,8,16000,15000,2.7818963411812474,0
nn,15,9,16000,16000,3.6990596801802242,0
nn,20,0,28000,28000,3.9623527747257015,0
nn,20,1,27000,26000,4.725527534528709,0
nn,20,2,28000,27000,5.274989374130197,0
nn,20,3,27000,26000,5.506556040129809,0
nn,20,4,27000,28000,3.7357356951815293,0
nn,20,5,27000,26000,4.0510809276076545,0
nn,20,6,27000,27000,4.917943756532523,0
nn,20,7,27000,26000,4.488141714808526,0
nn,20,8,27000,27000,5.419122941271862,0
nn,20,9,26000,26000,3.8289489942794606,0
nn2opt,5,0,26000,26000,5.0,0
nn2opt,5,1,25000,24000,2.249612736828632,0
nn2opt,5,2,22000,21000,2.585467868932958,0
nn2opt,5,3,14000,13000,2.092769076252572,0
nn2opt,5,4,22000,21000,1.730408540073093,0
nn2opt,5,5,14000,14000,1.8475581122675475,0
nn2opt,5,6,17000,17000,2.907493662653474,0
nn2opt,5,7,14000,14000,2.992680172101702,0
nn2opt,5,8,14000,14000,2.7273840284710706,0
nn2opt,5,9,21000,22000,2.1307530483783985,0
nn2opt,5,10,18000,18000,2.616055718212318,0
nn2opt,6,0,23000,23000,6.0,0
nn2opt,6,1,23000,22000,2.6603705791553898,0
nn2opt,6,2,23000,22000,2.3857942300953416,0
nn2opt,6,3,29000,27000,2.5826910133607814,0
nn2opt,6,4,30000,30000,2.715084117393127,0
nn2opt,6,5,22000,23000,2.204890873346207,0
nn2opt,6,6,22000,21000,2.1213700507683013,0
nn2opt,6,7,22000,22000,1.7547496920325507,0
nn2opt,6,8,33000,32000,1.9668510853745373,0
nn2opt,6,9,34000,35000,2.4785680059775688,0
nn2opt,6,10,22000,21000,2.510452305693461,0
nn2opt,7,0,34000,34000,7.0,0
nn2opt,7,1,66000,65000,2.548515833666206,0
nn2opt,7,2,62000,58000,2.1133715738835726,0
nn2opt,7,3,34000,34000,2.7655386558697854,0
nn2opt,7,4,60000,59000,2.8468180375751113,0
nn2opt,7,5,57000,56000,2.490845941532837,0
nn2opt,7,6,37000,37000,2.5723564469140525,0
nn2opt,7,7,78000,77000,2.4448035227533667,0
nn2opt,7,8,49000,50000,2.8691626616349586,0
