num_restarts,size,median_cost
5,5,2.4324100724478357
5,10,3.057976907935113
5,15,3.304130721791705
5,20,4.375216346376698
5,25,4.944539460396557
5,30,5.787880644797841
10,5,2.4324100724478357
10,10,2.918323583136432
10,15,3.24602787581605
10,20,4.408470013805271
10,25,4.780791314645345
10,30,5.704148060468432
25,5,2.4324100724478357
25,10,2.886298001360694
25,15,3.158523383874689
25,20,4.116421539833263
25,25,4.507716144896284
25,30,5.446010905475787
50,5,2.4324100724478357
50,10,2.886298001360694
50,15,3.1465654975290223
50,20,3.9434623894615766
50,25,4.486754423689208
50,30,5.482929380156943
100,5,2.4324100724478357
100,10,2.886298001360694
100,15,3.1465654975290214
100,20,3.788303431191867
100,25,4.470647394169546
100,30,5.18809464761192
