algo,size,median_cost,median_runtime_ns,median_cpu_ns
hill_climbing,5,2.4324100724478357,370000.0,382000.0
hill_climbing,10,2.886298001360694,4613000.0,13542500.0
hill_climbing,15,3.158523383874689,19101500.0,55331500.0
hill_climbing,20,3.9446603209817575,51536000.0,51530000.0
hill_climbing,25,4.550560128246048,104566500.0,104565000.0
hill_climbing,30,5.4972636686316765,199264000.0,199263000.0
simulated_annealing,5,2.4324100724478357,6368000.0,6367000.0
simulated_annealing,10,3.0734282583609938,7182500.0,7180500.0
simulated_annealing,15,3.6375410233658108,7923500.0,7922000.0
simulated_annealing,20,5.031561032938151,8763500.0,8760000.0
simulated_annealing,25,6.264219413012237,9523500.0,9521000.0
simulated_annealing,30,7.737853833287913,10338500.0,10336500.0
genetic_algorithm,5,2.4324100724478357,59964000.0,59960000.0
genetic_algorithm,10,3.009159470251909,74573500.0,74571500.0
genetic_algorithm,15,3.304974417520162,89725000.0,89721000.0
genetic_algorithm,20,4.2770241340525175,107584000.0,107582500.0
genetic_algorithm,25,5.232081546192157,125010500.0,125007000.0
genetic_algorithm,30,6.789907853608248,146752500.0,147026500.0
