algo,size,runtime_ratio,cpu_ratio,cost_ratio
nn,5,0.0012088244182532487,0.0001843487879067195,1.1212681855598428
nn2opt,5,0.005439709882139619,0.0008295695455802378,1.062924339205311
rrnn,5,0.3118766999093382,0.04737763849202691,1.0
nn,6,0.0012661433274246644,0.00012651021569991776,1.0277682731384168
nn2opt,6,0.005824259306153457,0.0007274337402745272,1.014714979281803
rrnn,6,0.4532793112180299,0.056486811310013284,1.0040747731038064
nn,7,0.0009886307464162135,0.0003301855642871294,1.1259550517842636
nn2opt,7,0.008073817762399077,0.0033018556428712938,1.0000000000000002
rrnn,7,0.5126050420168067,0.2052433467608796,1.0000000000000002
nn,8,0.00040422706011433853,0.000346860908775581,1.0486549934228147
nn2opt,8,0.0030028295894208,0.0030061278760550353,1.0231068599537774
rrnn,8,0.2912167234509442,0.29130535322002543,1.0079998739767833
nn,9,0.0002940581867637059,0.00029448033423517937,1.0805698361857763
nn2opt,9,0.0037676205179099816,0.0037730292823882354,1.0222834270568322
rrnn,9,0.2952344195107607,0.29551101540500246,1.0000000000000002
nn,10,0.0006119162640901771,0.000580570249000129,1.1130935246731728
nn2opt,10,0.010112721417069244,0.010095471552057799,1.0124291531355394
rrnn,10,0.7662479871175524,0.7671268223455038,1.0
nn,15,6.237171272723148e-05,6.050990944313865e-05,1.1378101598632593
nn2opt,15,0.00211307802512257,0.0021083921571593625,1.0025766798760032
rrnn,15,0.24299641268149225,0.2430985611878095,1.0
nn,20,1.3653357929604803e-05,1.3401117703786751e-05,1.2160680125929686
nn2opt,20,0.0007441080071634618,0.0007428770530891599,1.0174767862401872
rrnn,20,0.10166871846295553,0.10161309000949204,1.0
