k,size,median_cost
1,5,2.585467868932958
1,10,2.9221722412144073
1,15,3.1546731895250306
1,20,3.854510800471775
1,25,4.290419201665812
1,30,4.7878376154691775
2,5,2.4324100724478357
2,10,2.886298001360694
2,15,3.1465654975290214
2,20,3.788303431191867
2,25,4.2026271083415985
2,30,4.694661937532711
3,5,2.4324100724478357
3,10,2.886298001360694
3,15,3.1465654975290214
3,20,3.788303431191867
3,25,4.2026271083415985
3,30,4.698334975617275
5,5,2.4324100724478357
5,10,2.886298001360694
5,15,3.1465654975290214
5,20,3.788303431191867
5,25,4.2026271083415985
5,30,4.698334975617276
7,5,2.4324100724478357
7,10,2.886298001360694
7,15,3.1465654975290214
7,20,3.788303431191867
7,25,4.2026271083415985
7,30,4.7191197535875204
