num_repeats,size,median_cost
10,5,2.4324100724478357
10,10,2.886298001360694
10,15,3.1465654975290214
10,20,3.788303431191867
10,25,4.211745586562477
10,30,4.739478771768784
25,5,2.4324100724478357
25,10,2.886298001360694
25,15,3.1465654975290214
25,20,3.788303431191867
25,25,4.211745586562477
25,30,4.698334975617275
50,5,2.4324100724478357
50,10,2.886298001360694
50,15,3.1465654975290214
50,20,3.788303431191867
50,25,4.2026271083415985
50,30,4.698334975617275
100,5,2.4324100724478357
100,10,2.886298001360694
100,15,3.1465654975290214
100,20,3.788303431191867
100,25,4.2026271083415985
100,30,4.698334975617275
200,5,2.4324100724478357
200,10,2.886298001360694
200,15,3.1465654975290214
200,20,3.788303431191867
200,25,4.2026271083415985
200,30,4.694661937532711
