alpha,size,median_cost
0.9,5,2.4324100724478357
0.9,10,3.1928438681589317
0.9,15,3.6979126616003697
0.9,20,4.652254903187752
0.9,25,5.674163167930815
0.9,30,6.886407409548621
0.95,5,2.4324100724478357
0.95,10,3.1475024622328904
0.95,15,3.833753699704963
0.95,20,5.010425870802308
0.95,25,5.876892308571979
0.95,30,6.97814625666097
0.99,5,2.4324100724478357
0.99,10,3.0033573081042872
0.99,15,3.4461777276900234
0.99,20,4.8453500946039485
0.99,25,6.47309530747969
0.99,30,7.489561725282355
0.999,5,2.4324100724478357
0.999,10,3.458220455169508
0.999,15,4.830766069646922
0.999,20,7.638051271866116
0.999,25,9.774539188056956
0.999,30,12.752853866324376
